"","Facility","Locale","Latitude","Longitude","FacilityID"
"1","Bell Centennial Arena","West End","45.324412","-75.811532",1
"2","Belltown Dome","West End","45.360014","-75.803732",2
"3","Bernard-Grandmaître Arena","East","45.432813","-75.655395",3
"4","Blackburn Arena","East","45.43","-75.563149",4
"5","Bob MacQuarrie Recreation Complex-Orléans","East","45.466459","-75.545228",5
"6","Brewer Pool and Arena","Central","45.389097","-75.691057",6
"7","Canterbury Recreation Complex","Central","45.390558","-75.628903",7
"8","Champagne Fitness Centre","Central","45.430659","-75.686719",8
"9","Deborah Anne Kirwan Pool","South","45.367799","-75.656587",9
"10","Dempsey Community Centre","Central","45.401927","-75.627773",10
"11","Earl Armstrong Arena","East","45.43588","-75.602864",11
"12","Eva James Memorial Community Centre","West","45.290656","-75.857888",12
"13","François Dupuis Recreation Centre","East","45.457012","-75.449182",13
"14","Fred Barrett Arena","South","45.331162","-75.598078",14
"15","Goulbourn Recreation Complex","West","45.263237","-75.907526",15
"16","Greenboro Community Centre","South","45.363424","-75.635499",16
"17","Hintonburg Community Centre","","","",17
"18","Howard Darwin Centennial Arena","West End","45.341963","-75.72629",18
"19","Hunt Club-Riverside Park Community Centre","South","45.351833","-75.672689",19
"20","J.A. Dulude Arena","West End","45.373757","-75.743907",20
"21","Jack Charron Arena","West","45.293619","-75.883852",21
"22","Jack Purcell Community Centre","Central","45.415769","-75.689533",22
"23","Jim Durrell Recreation Centre","Central","45.372846","-75.6597",23
"24","John G Mlacak Community Centre","West","45.320822","-75.897182",24
"25","Johnny Leroux Stittsville Community Arena","West","45.260748","-75.925043",25
"26","Kanata Leisure Centre and Wave Pool","West","45.311241","-75.898782",26
"27","Kanata Recreation Complex","West","45.295047","-75.903432",27
"28","Larry Robinson Arena","South","45.230279","-75.46887",28
"29","Lowertown Pool","Central","45.434277","-75.681504",29
"30","Manotick Arena","South","45.22092","-75.68733",30
"31","McNabb Recreation Centre","Central","45.409026","-75.702634",31
"32","Minto Recreation Complex - Barrhaven","South","45.253397","-75.736022",32
"33","Navan Memorial Centre","East","45.421381","-75.421326",33
"34","Nepean Sportsplex","West End","45.326912","-75.746002",34
"35","Overbrook Community Centre","Central","45.425415","-75.656782",35
"36","Pinecrest Recreation Complex","West End","45.348021","-75.773401",36
"37","Plant Recreation Centre","Central","45.40799","-75.714452",37
"38","R.J. Kennedy Arena","East","45.514531","-75.402976",38
"39","Ray Friel Recreation Complex","East","45.471382","-75.49173",39
"40","Richcraft Recreation Complex-Kanata","West","45.344475","-75.93036",40
"41","Richmond Arena","South","45.195657","-75.837795",41
"42","Rideauview Community Centre","South","45.277477","-75.687125",42
"43","Sandy Hill Arena","Central","45.419286","-75.673804",43
"44","Sawmill Creek Community Centre and Pool","South","45.350423","-75.636775",44
"45","Splash Wave Pool","East","45.437087","-75.600821",45
"46","St-Laurent Complex","East","45.43638","-75.647014",46
"47","Stuart Holmes Arena","South","45.147472","-75.601273",47
"48","Tom Brown Arena","Central","45.408105","-75.722154",48
"49","W. Erskine Johnston Arena","West","45.349145","-76.038851",49
"50","Walter Baker Sports Centre","West","45.280326","-75.761861",50
